date,close,high,low,open,volume,ret
2016-02-18,1226.099976,1239.199951,1201.599976,1209.599976,315,0.0123854349741974
2016-02-19,1230.400024,1232.800049,1221.800049,1230.800049,76,0.00350709410665551
2016-02-22,1209.5,1226.099976,1203.0,1226.099976,280,-0.0169863650782894
2016-02-23,1222.300049,1226.099976,1207.400024,1207.400024,351,0.0105829260024803
2016-02-24,1238.699951,1250.099976,1230.0,1230.0,111,0.0134172472736276
2016-02-25,1238.199951,1241.5,1235.0,1239.400024,1349,-0.000403649002808426
2016-02-26,1219.800049,1239.099976,1212.199951,1232.400024,656,-0.0148602024940639
2016-02-29,1233.900024,1241.0,1218.599976,1218.599976,580,0.011559251052301
2016-03-01,1230.300049,1248.400024,1229.0,1240.5,477,-0.00291755809221061
2016-03-02,1241.099976,1242.599976,1226.0,1232.800049,267,0.00877828705995598
2016-03-03,1257.400024,1267.900024,1238.0,1238.400024,123,0.0131335495247806
2016-03-04,1269.900024,1279.900024,1250.900024,1263.0,268,0.00994114821171665
2016-03-07,1263.199951,1272.300049,1259.699951,1259.800049,67,-0.00527606336985154
2016-03-08,1262.099976,1276.300049,1261.0,1268.699951,43,-0.000870784549294235
2016-03-09,1256.599976,1260.0,1244.800049,1254.5,79,-0.00435781642071753
2016-03-10,1272.0,1273.0,1237.5,1250.0,119,0.0122553113911568
2016-03-11,1258.699951,1280.699951,1249.400024,1270.0,87,-0.0104560133647799
2016-03-14,1244.400024,1258.0,1234.5,1256.0,58,-0.0113608703874495
2016-03-15,1230.400024,1236.0,1228.0,1228.300049,37,-0.0112504015830845
2016-03-16,1229.300049,1263.800049,1228.900024,1229.5,45,-0.000893997869427898
2016-03-17,1264.5,1270.099976,1255.900024,1261.5,27,0.0286341410533857
2016-03-18,1253.800049,1264.400024,1251.5,1257.099976,542,-0.00846180387504947
2016-03-21,1243.800049,1256.199951,1243.400024,1256.199951,1061,-0.0079757533970235
2016-03-22,1248.199951,1252.400024,1243.800049,1244.0,20,0.00353746729913507
2016-03-23,1223.699951,1247.699951,1218.599976,1247.699951,28,-0.0196282654717073
2016-03-24,1221.400024,1221.400024,1214.199951,1214.199951,13,-0.00187948606038635
2016-03-28,1219.900024,1222.199951,1210.0,1211.5,33,-0.00122809887876674
2016-03-29,1235.599976,1235.599976,1217.699951,1217.800049,189732,0.0128698677687704
2016-03-30,1226.900024,1245.0,1223.400024,1241.400024,48248,-0.00704107491824679
2016-03-31,1234.199951,1239.599976,1224.5,1225.599976,3377,0.00594989555563008
2016-04-01,1222.199951,1235.199951,1209.199951,1232.300049,1602,-0.00972289780944902
2016-04-04,1218.0,1222.300049,1215.0,1221.699951,2038,-0.00343638616297082
2016-04-05,1228.400024,1236.699951,1215.400024,1215.400024,477,0.00853860755336622
2016-04-06,1222.5,1230.400024,1217.599976,1230.400024,248,-0.00480301521062165
2016-04-07,1236.199951,1242.900024,1224.599976,1224.800049,375,0.0112065038854807
