date,close,forecast_date,y,lag_1,lag_2,lag_3,lag_5,lag_10,lag_21,rolling_mean_7,rolling_mean_21,rolling_mean_63
2016-04-05,1228.400024,2016-04-05,1228.400024,1218.0,1222.199951,1234.199951,1235.599976,1243.800049,1269.900024,1226.457136,1240.823806,1188.320634
2016-04-06,1222.5,2016-04-06,1222.5,1228.400024,1218.0,1222.199951,1226.900024,1248.199951,1263.199951,1226.828561,1238.885713,1190.607935
2016-04-07,1236.199951,2016-04-07,1236.199951,1222.5,1228.400024,1218.0,1234.199951,1223.699951,1262.099976,1226.914272,1237.652379,1192.89841
2016-04-08,1242.5,2016-04-08,1242.5,1236.199951,1222.5,1228.400024,1222.199951,1221.400024,1256.599976,1229.14284,1236.980951,1195.038094
2016-04-11,1256.699951,2016-04-11,1256.699951,1242.5,1236.199951,1222.5,1218.0,1219.900024,1272.0,1232.357125,1236.252377,1197.560314
2016-04-12,1259.400024,2016-04-12,1259.400024,1256.699951,1242.5,1236.199951,1228.400024,1235.599976,1258.699951,1237.671422,1236.285714,1200.146029
2016-04-13,1246.800049,2016-04-13,1246.800049,1259.400024,1256.699951,1242.5,1222.5,1226.900024,1244.400024,1241.785714,1236.400001,1202.70476
2016-04-14,1225.0,2016-04-14,1225.0,1246.800049,1259.400024,1256.699951,1236.199951,1234.199951,1230.400024,1241.299997,1236.142857,1204.8873
2016-04-15,1233.099976,2016-04-15,1233.099976,1225.0,1246.800049,1259.400024,1242.5,1222.199951,1229.300049,1242.814279,1236.323806,1207.414283
2016-04-18,1233.599976,2016-04-18,1233.599976,1233.099976,1225.0,1246.800049,1256.699951,1218.0,1264.5,1242.442854,1234.852376,1209.669839
2016-04-19,1253.0,2016-04-19,1253.0,1233.599976,1233.099976,1225.0,1259.400024,1228.400024,1253.800049,1243.942854,1234.814279,1212.258727
2016-04-20,1253.199951,2016-04-20,1253.199951,1253.0,1233.599976,1233.099976,1246.800049,1222.5,1243.800049,1243.442854,1235.261893,1214.577774
2016-04-21,1249.0,2016-04-21,1249.0,1253.199951,1253.0,1233.599976,1225.0,1236.199951,1248.199951,1241.957136,1235.299991,1216.95714
2016-04-22,1228.699951,2016-04-22,1228.699951,1249.0,1253.199951,1253.0,1233.099976,1242.5,1223.699951,1239.371408,1235.538086,1219.044441
2016-04-25,1238.900024,2016-04-25,1238.900024,1228.699951,1249.0,1253.199951,1233.599976,1256.699951,1221.400024,1241.357125,1236.371419,1221.150792
2016-04-26,1242.199951,2016-04-26,1242.199951,1238.900024,1228.699951,1249.0,1253.0,1259.400024,1219.900024,1242.657122,1237.433321,1223.06349
2016-04-27,1249.199951,2016-04-27,1249.199951,1242.199951,1238.900024,1228.699951,1253.199951,1246.800049,1235.599976,1244.88569,1238.080938,1225.176188
2016-04-28,1265.5,2016-04-28,1265.5,1249.199951,1242.199951,1238.900024,1249.0,1225.0,1226.900024,1246.671404,1239.919033,1227.555554
2016-04-29,1289.199951,2016-04-29,1289.199951,1265.5,1249.199951,1242.199951,1228.699951,1233.099976,1234.199951,1251.814261,1242.53808,1230.29841
2016-05-02,1294.699951,2016-05-02,1294.699951,1289.199951,1265.5,1249.199951,1238.900024,1233.599976,1222.199951,1258.342826,1245.990461,1232.946027
2016-05-03,1290.699951,2016-05-03,1290.699951,1294.699951,1289.199951,1265.5,1242.199951,1253.0,1218.0,1267.199969,1249.452364,1235.539677
2016-05-04,1273.300049,2016-05-04,1273.300049,1290.699951,1294.699951,1289.199951,1249.199951,1253.199951,1228.400024,1272.114258,1251.59046,1237.634915
2016-05-05,1271.400024,2016-05-05,1271.400024,1273.300049,1290.699951,1294.699951,1265.5,1249.0,1222.5,1276.285697,1253.919033,1239.441265
2016-05-06,1292.900024,2016-05-06,1292.900024,1271.400024,1273.300049,1290.699951,1289.199951,1228.699951,1236.199951,1282.528564,1256.619036,1241.585709
2016-05-09,1265.599976,2016-05-09,1265.599976,1292.900024,1271.400024,1273.300049,1294.699951,1238.900024,1242.5,1282.542847,1257.719035,1242.660311
2016-05-10,1263.900024,2016-05-10,1263.900024,1265.599976,1292.900024,1271.400024,1290.699951,1242.199951,1256.699951,1278.928571,1258.061895,1243.695233
2016-05-11,1274.599976,2016-05-11,1274.599976,1263.900024,1265.599976,1292.900024,1273.300049,1249.199951,1259.400024,1276.057146,1258.785703,1244.963487
