date,yhat,yhat_lower,yhat_upper
2016-09-12,1297.198488,1222.03762,1374.905002
2016-09-13,1294.699358,1214.087037,1378.09903
2016-09-14,1292.860202,1208.533316,1367.503277
2016-09-15,1291.238689,1207.828574,1371.198321
2016-09-16,1289.08676,1208.906151,1369.0379
2016-09-19,1279.487946,1195.695283,1361.695905
2016-09-20,1277.055411,1197.534043,1356.501473
2016-09-21,1274.993032,1198.143086,1350.089804
2016-09-22,1272.569377,1194.295822,1356.183551
2016-09-23,1269.351355,1191.935788,1351.707421
2016-09-26,1259.331141,1175.515254,1332.187067
2016-09-27,1257.404799,1175.004037,1343.068574
2016-09-28,1255.951578,1173.324954,1338.053052
2016-09-29,1254.748588,1168.900831,1329.859399
2016-09-30,1253.964355,1174.316035,1334.72918
2016-10-03,1255.135849,1174.276257,1333.290927
2016-10-04,1253.92194,1174.10056,1341.129059
2016-10-05,1251.726756,1172.105002,1335.446536
2016-10-06,1249.126366,1172.06175,1326.2982
2016-10-07,1247.10749,1167.750732,1327.21971
2016-10-11,1246.122697,1167.467049,1324.226372
2016-10-12,1245.288688,1170.122087,1328.756489
2016-10-13,1244.727384,1162.477675,1320.746803
2016-10-14,1245.025152,1162.765592,1331.323249
2016-10-17,1247.502952,1163.701694,1330.974398
2016-10-18,1247.250018,1169.837946,1329.284404
2016-10-19,1246.972463,1163.117323,1332.137623
2016-10-20,1247.280971,1167.062219,1322.970884
2016-10-21,1248.160016,1170.48917,1331.258389
2016-10-24,1248.040199,1161.221528,1326.179829
2016-10-25,1246.735202,1162.560656,1330.527889
2016-10-26,1245.746509,1167.328901,1324.943979
2016-10-27,1245.36833,1164.323388,1325.187695
2016-10-28,1245.36823,1164.55625,1331.398051
2016-10-31,1245.638647,1164.208544,1327.737225
2016-11-01,1246.338643,1159.416854,1327.36796
2016-11-02,1247.122811,1164.236338,1336.241085
2016-11-03,1247.21853,1165.426379,1330.805496
2016-11-04,1246.050652,1169.015077,1330.590246
2016-11-07,1239.636371,1161.060633,1317.709334
2016-11-08,1238.827835,1153.763281,1321.446452
2016-11-09,1238.326669,1155.905794,1318.191409
2016-11-10,1237.313033,1158.40819,1312.71664
2016-11-14,1231.095795,1152.741348,1310.174565
2016-11-15,1230.634505,1146.318708,1312.60363
2016-11-16,1229.724268,1151.340981,1306.287049
2016-11-17,1228.01226,1147.269705,1306.613713
2016-11-18,1225.881373,1142.874482,1303.976403
2016-11-21,1222.065337,1147.248211,1307.046774
